probe_id,original_baseline_probe_id,comparison_note
context_diagnostic__person_auditorium__name_3__obj_bag__placement__compact,person_auditorium__name_3__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_auditorium__name_3__obj_bag__placement__setting,person_auditorium__name_3__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_auditorium__name_3__obj_bag__placement__endpoint,person_auditorium__name_3__obj_bag__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_auditorium__name_3__obj_coat__placement__compact,person_auditorium__name_3__obj_coat__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_auditorium__name_3__obj_coat__placement__setting,person_auditorium__name_3__obj_coat__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__person_auditorium__name_3__obj_coat__placement__endpoint,person_auditorium__name_3__obj_coat__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_ball__placement__compact,objects_gym__obj_bench__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_ball__placement__setting,objects_gym__obj_bench__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_ball__placement__endpoint,objects_gym__obj_bench__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_cone__placement__compact,objects_gym__obj_bench__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_cone__placement__setting,objects_gym__obj_bench__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_bench__obj_cone__placement__endpoint,objects_gym__obj_bench__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_ball__placement__compact,objects_gym__obj_mat__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_ball__placement__setting,objects_gym__obj_mat__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_ball__placement__endpoint,objects_gym__obj_mat__obj_ball__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_cone__placement__compact,objects_gym__obj_mat__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_cone__placement__setting,objects_gym__obj_mat__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_gym__obj_mat__obj_cone__placement__endpoint,objects_gym__obj_mat__obj_cone__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_cup__placement__compact,objects_kitchen__obj_plate__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_cup__placement__setting,objects_kitchen__obj_plate__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_cup__placement__endpoint,objects_kitchen__obj_plate__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_mug__placement__compact,objects_kitchen__obj_plate__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_mug__placement__setting,objects_kitchen__obj_plate__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_plate__obj_mug__placement__endpoint,objects_kitchen__obj_plate__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_cup__placement__compact,objects_kitchen__obj_bowl__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_cup__placement__setting,objects_kitchen__obj_bowl__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_cup__placement__endpoint,objects_kitchen__obj_bowl__obj_cup__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_mug__placement__compact,objects_kitchen__obj_bowl__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_mug__placement__setting,objects_kitchen__obj_bowl__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_kitchen__obj_bowl__obj_mug__placement__endpoint,objects_kitchen__obj_bowl__obj_mug__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_helmet__placement__compact,objects_workshop__obj_toolbox__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_helmet__placement__setting,objects_workshop__obj_toolbox__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_helmet__placement__endpoint,objects_workshop__obj_toolbox__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_bucket__placement__compact,objects_workshop__obj_toolbox__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_bucket__placement__setting,objects_workshop__obj_toolbox__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_toolbox__obj_bucket__placement__endpoint,objects_workshop__obj_toolbox__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_helmet__placement__compact,objects_workshop__obj_crate__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_helmet__placement__setting,objects_workshop__obj_crate__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_helmet__placement__endpoint,objects_workshop__obj_crate__obj_helmet__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_bucket__placement__compact,objects_workshop__obj_crate__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_bucket__placement__setting,objects_workshop__obj_crate__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
context_diagnostic__objects_workshop__obj_crate__obj_bucket__placement__endpoint,objects_workshop__obj_crate__obj_bucket__baseline,Original wording may differ; use diagnostic_matches for controlled effects.
